"id","name","location","round_1","round_2","round_3","round_4","round_4","time","total"
1,"VMESTE","Ульяновск","5","12","4","5","18","11:07:05427","44"
2,"КАДЕТЫ ОРЛА","Орел","6","8","5","5","18","11:07:32562","42"
3,"Трехцветный кентавр","Санкт-петербург","4","11","5","5","17","11:07:02100","42"
4,"Команда МС","Мурманск","6","7","6","4","18","11:07:11230","41"
5,"Бумеранг","Долгопрудный","5","8","5","4","18","11:07:04781","40"
6,"ЦМИ Дзержинск","Дзержинск","4","10","6","5","15","11:07:09158","40"
7,"Город112","Новокузнецк","5","12","5","3","15","11:07:05407","40"
8,"МБОУ ""Лицей №5 г.Ельца""","Елец","6","7","6","5","15","11:07:09187","39"
9,"Русская Правда","Сызрань","5","10","5","4","15","11:07:05643","39"
10,"31 чешка","г. Чебоксары","6","9","5","6","13","11:07:24952","39"
11,"Квазар","Саратов","3","8","6","4","17","11:07:10479","38"
12,"ЛМИ","Саратов","6","7","5","4","16","11:07:05124","38"
13,"Ледяные патриоты","Ноябрьск","4","9","5","5","15","11:06:55313","38"
14,"Северное сияние","Североморск","6","7","5","5","15","11:07:15395","38"
15,"Дети России","Сызрань","4","10","5","4","15","11:07:04574","38"
16,"Кировка","г.Мурманск","6","10","4","4","14","11:07:06422","38"
17,"Профсоюзы Новосибирска","Новосибирск","6","10","5","4","13","11:07:19168","38"
18,"ОКНА","Саратов","6","7","4","5","15","11:07:05369","37"
19,"Дикие Коты","Кедровый","6","7","6","5","13","11:07:10792","37"
20,"Победа Новороссийска","Новороссийск","5","9","5","6","12","11:07:04462","37"
21,"Орчанки","Орск","6","9","6","4","12","11:07:08778","37"
22,"Бара-бере","Санкт-Петербург","6","5","5","5","15","11:06:32404","36"
23,"Дети России","с. Новоурупское","2","10","5","4","15","11:07:04574","36"
24,"ГБПОУ ДТК","ДЗЕРЖИНСК","6","6","5","4","15","11:06:08119","36"
25,"Средняя Агинка","Средняя Агинка","4","9","4","4","15","11:07:18198","36"
26,"Что такое осень?","Нижний Новгород","3","9","6","3","15","11:06:58269","36"
27,"МС Налог-Сервис","Кемерово","5","8","5","5","13","11:07:10144","36"
28,"МОУ ""РПКГ""","Саратов","4","10","4","5","13","11:06:38308","36"
29,"Просто ""Факел""","Моршанск","5","9","4","5","13","11:07:03923","36"
30,"Котлин","Санкт-Петербург, Кронштадт","4","9","6","4","13","11:07:01207","36"
31,"Олимпийцы","Арзамас","3","7","3","4","18","11:06:41805","35"
32,"Мы из ЕГУ","Елец","5","3","6","5","16","11:07:19050","35"
33,"Время патриотизма","Красный Холм","6","4","5","5","15","11:07:13659","35"
34,"Супер четвёрка","Ядрин","6","6","3","5","15","11:07:34412","35"
35,"Lollipop Ы","Сланцы","5","7","4","4","15","11:06:58637","35"
36,"Юристы в коротких штанишках","Ростов-на-Дону","5","7","4","4","15","11:07:12984","35"
37,"РФ+РТ","Альметьевск","5","7","5","4","14","11:07:11342","35"
38,"Дрим тим","пгт. Кедровый","3","8","6","5","13","11:07:29125","35"
39,"Габидульки","Одинцово","6","7","4","5","13","11:06:58990","35"
40,"ПАТРИОТЫ 39","Чебоксары","6","7","5","4","13","11:07:29639","35"
41,"Девицы","Челябинск","3","12","5","5","10","11:07:11407","35"
42,"9 вал","Новочебоксарск","5","5","2","4","18","11:07:04233","34"
43,"Нижегородские патриоты","Нижний Новгород","3","6","5","5","15","11:07:05637","34"
44,"Сулиночки","Красный Сулин","5","4","6","4","15","11:07:00923","34"
45,"Буёк","Ангарск","4","6","5","4","15","11:06:59772","34"
46,"Динамо","Село Богородицкое","3","10","3","3","15","11:07:22699","34"
47,"Мечта","Арзамас","5","9","4","2","14","11:07:35413","34"
48,"Россияночки Республики Алтай","Горно-Алтайск","4","7","6","4","13","11:07:08163","34"
49,"МБОУ лицей с. Долгоруково","Долгоруково","5","8","4","4","13","11:07:12956","34"
50,"Дикие Хомяки","Ухта","5","7","5","5","12","11:07:01968","34"
51,"Интеллект","Бугры","5","10","5","3","11","11:07:00712","34"
52,"Могучая кучка","Саратов","5","3","5","5","15","11:07:03813","33"
53,"Коллеги на обеде","Кемерово","5","6","5","4","13","11:07:11337","33"
54,"Верхний Дон","Данков","6","6","4","4","13","11:07:11008","33"
55,"Добряки","Воронеж","5","6","6","3","13","11:06:33798","33"
56,"Знатоки 10","Арзамас","4","9","5","2","13","11:07:03868","33"
